"","idx","script","speaker","time_from","time_to"
"80","106","아",NA,"00:07:19,041","00:07:20,041"
"81","107","자",NA,"00:07:24,958","00:07:26,000"
"82","108","잊은 줄 알았지?",NA,"00:07:30,541","00:07:31,708"
"83","109","생일 축하해",NA,"00:07:32,208","00:07:33,208"
"84","110","뭐 해, 빨리 풀어봐","석우","00:07:34,875","00:07:36,291"
"85","112","왜?",NA,"00:07:53,791","00:07:54,833"
"86","113","마음에 안 들어?",NA,"00:07:55,500","00:07:56,541"
"87","114","이번 어린이날",NA,"00:08:10,833","00:08:12,375"
"88","115","뭐, 다른 거",NA,"00:08:16,875","00:08:19,458"
"89","116","원하는 거 있으면 말해봐",NA,"00:08:20,000","00:08:21,666"
"90","117","부산",NA,"00:08:23,250","00:08:24,291"
"91","118","엄마한테 가고 싶어요",NA,"00:08:24,916","00:08:26,750"
"92","119","내일",NA,"00:08:27,666","00:08:28,666"
"93","120","아까 얘기했잖아",NA,"00:08:28,833","00:08:30,250"
"94","121","아빠 시간 좀 나면 다음에...",NA,"00:08:30,875","00:08:32,791"
"95","122","아니요, 내일요",NA,"00:08:32,875","00:08:34,875"
"96","123","맨날 다음이라고만 하고 또 거짓말이잖아요",NA,"00:08:35,707","00:08:39,416"
"97","124","아빠 시간 안 뺏을게요","수안","00:08:40,957","00:08:42,916"
"98","125","혼자 갈 수 있어요",NA,"00:08:43,457","00:08:45,125"
"99","127","요즘 많이 바쁘니?","석우 모","00:08:52,791","00:08:54,208"
"100","128","항상 그렇죠, 뭐",NA,"00:08:55,041","00:08:56,208"
"101","129","내일 수안이랑 부산에는 가기로 했고?","석우 모","00:08:57,750","00:09:01,208"
"102","130","네",NA,"00:09:02,250","00:09:03,291"
"103","131","잘했다","석우 모","00:09:03,833","00:09:05,083"
"104","132","이번에 내려가면, 나영이...",NA,"00:09:05,625","00:09:08,708"
"105","133","나영이랑 만나서","석우 모","00:09:10,166","00:09:11,625"
"106","134","밥이라도 먹으면서 한번 잘 얘기해봐",NA,"00:09:11,708","00:09:15,875"
"107","135","부부라는 게 그렇게 쉽게 갈라설 수 있는 게 아니다",NA,"00:09:17,125","00:09:20,625"
"108","136","수안이 생각도 해야지",NA,"00:09:23,083","00:09:24,958"
"109","137","엄마, 그냥 제가 알아서 할게요",NA,"00:09:25,041","00:09:27,458"
"110","138","요즘 좀 중요한 때라서 그래요","석우","00:09:30,083","00:09:32,625"
"111","139","그래",NA,"00:09:34,916","00:09:36,041"
"112","140","네가 어련히 알아서 잘하겠지",NA,"00:09:36,916","00:09:39,708"
"113","141","낮에 학예회에 너 안 와서 수안이가",NA,"00:09:41,541","00:09:45,000"
"114","142","되게 서운해하더라",NA,"00:09:45,083","00:09:46,916"
"115","143","요즘 중요한 때야",NA,"00:09:48,458","00:09:50,500"
"116","144","수안이한테도",NA,"00:09:50,750","00:09:52,208"
"117","149","♪ 검은 구름 ♪",NA,"00:10:16,125","00:10:18,833"
"118","150","♪ 하늘을 가리고 ♪",NA,"00:10:18,916","00:10:23,208"
"119","151","♪ 이별의 ♪",NA,"00:10:24,083","00:10:26,875"
"120","152","♪ 날은 왔도다 ♪",NA,"00:10:26,958","00:10:31,041"
"121","153","♪ 다시... ♪",NA,"00:10:32,083","00:10:33,541"
"122","154","어, 괜찮아","석우 모","00:10:34,458","00:10:37,000"
"123","155","괜찮아, 괜찮아","석우 모","00:10:37,333","00:10:38,333"
"124","156","수안아? ","석우 모","00:10:38,416","00:10:39,458"
"125","156","수안이에게","선생님","00:10:38,416","00:10:39,458"
"126","157","계속해 ","석우 모","00:10:39,541","00:10:40,833"
"127","157","응원의 박수","선생님","00:10:39,541","00:10:40,833"
"128","159","어?","석우 모","00:10:42,416","00:10:43,416"
"129","161","수안아, 계속해","아이","00:10:47,458","00:10:48,750"
"130","162","어, 어, 엄마","수안","00:10:56,333","00:10:58,833"
"131","163","어",NA,"00:10:59,708","00:11:00,750"
"132","164","아니, 아빠도 같이",NA,"00:11:01,458","00:11:03,750"
"133","165","어, 어, 끊어",NA,"00:11:05,375","00:11:07,541"
"134","166","어, 이따가 봐",NA,"00:11:07,625","00:11:09,041"
"135","167","어",NA,"00:11:09,250","00:11:10,416"
"136","170","저기, 어제","석우","00:11:25,416","00:11:26,458"
"137","171","아빠가 수안이 노래하는 거 봤는데, 학예회에서",NA,"00:11:26,541","00:11:28,833"
"138","172","언제 봤어요? 안 왔으면서",NA,"00:11:29,666","00:11:32,500"
"139","173","아빠는 안 보고 있는 것 같으면서도 다 보고 있다?",NA,"00:11:34,291","00:11:36,625"
"140","174","수안이 뭐 하는지?",NA,"00:11:36,708","00:11:37,833"
"141","175","노래하다 말았지?",NA,"00:11:39,750","00:11:41,000"
"142","176","맞지?","석우","00:11:41,875","00:11:42,958"
"143","177","네",NA,"00:11:43,416","00:11:44,666"
"144","178","왜 그랬어 끝까지 해야지, 바보같이",NA,"00:11:45,875","00:11:48,416"
"145","179","모든 일이 그래","석우","00:11:49,791","00:11:51,083"
"146","180","시작하면 중간에 포기하면 안 되는 거야",NA,"00:11:51,541","00:11:53,375"
"147","181","그건 안 한 것만 못하는 거야",NA,"00:11:54,458","00:11:56,291"
"148","183","아, 씨, 놀래라","석우","00:12:07,333","00:12:09,333"
"149","184","아, 뭐야, 새벽부터",NA,"00:12:14,000","00:12:16,083"
"150","187","수안이 괜찮아? 놀랐지?","석우","00:12:23,750","00:12:25,666"
"151","188","아휴, 깜짝 놀랐네",NA,"00:12:27,000","00:12:28,458"
"152","189","수안아 저기 무슨 일 났나 봐",NA,"00:12:40,000","00:12:41,833"
"153","191","출발 안내 말씀 드립니다",NA,"00:12:55,875","00:12:58,375"
"154","192","05시 30분에 부산으로 가는 KTX 101 열차가",NA,"00:12:58,458","00:13:02,375"
"155","193","곧 출발합니다",NA,"00:13:02,458","00:13:04,000"
"156","194","승차권을 구입한 고객께서는...",NA,"00:13:04,250","00:13:05,541"
"157","195","여기 4호 차 어디예요?","남자","00:13:05,625","00:13:06,916"
"158","196","아, 4호 차 저쪽으로 가시면 됩니다",NA,"00:13:07,000","00:13:08,625"
"159","197","예, 고마워요","여자","00:13:08,708","00:13:09,791"
"160","198","다시 한번 안내 말씀 드립니다",NA,"00:13:10,291","00:13:12,041"
"161","199","05시 30분에 부산으로 가는 KTX 101 열차가",NA,"00:13:12,833","00:13:16,875"
"162","200","곧 출발합니다",NA,"00:13:16,958","00:13:18,291"
"163","201","승차권을 구입한...",NA,"00:13:18,625","00:13:19,541"
"164","205","어, 혜영 씨, 혜영 씨 ",NA,"00:13:37,416","00:13:39,041"
"165","205","네?",NA,"00:13:37,416","00:13:39,041"
"166","206","스카프 ",NA,"00:13:39,458","00:13:40,458"
"167","206","아",NA,"00:13:39,458","00:13:40,458"
"168","207","돌아갔어요","기철","00:13:40,541","00:13:41,833"
"169","209","자, 다들 조용히 하고 모두 자리에 앉자",NA,"00:13:48,166","00:13:51,250"
"170","210","네","야구부원들","00:13:51,416","00:13:52,416"
"171","212","어? 진희다 ","준모","00:13:55,291","00:13:57,000"
"172","212","어?","부원1","00:13:55,291","00:13:57,000"
